osm_node_id,latitude,longitude,street_names,highway_types,in_degree,out_degree,fully_bidirectional,traffic_signals,junction,minimum_branch_angle,maximum_branch_angle,cross_score,likely_geometric_cross,osm_url,branch_1_neighbor,branch_1_bearing,branch_1_street,branch_1_highway,branch_2_neighbor,branch_2_bearing,branch_2_street,branch_2_highway,branch_3_neighbor,branch_3_bearing,branch_3_street,branch_3_highway,branch_4_neighbor,branch_4_bearing,branch_4_street,branch_4_highway
3841909841,13.8327325,100.7184976,นลิน 1; นลิน 1 ซอย 3; นลิน 2 ซอย 3,residential,4,4,True,False,,89.08,91.13,0.9937,True,https://www.openstreetmap.org/node/3841909841,3841909842,89.35,นลิน 1 ซอย 3,residential,3841909834,178.43,นลิน 1,residential,3841909840,268.31,นลิน 2 ซอย 3,residential,3841909848,358.22,นลิน 1,residential
3053303650,13.8844207,100.7203531,,residential,4,4,True,False,,89.32,91.15,0.9936,True,https://www.openstreetmap.org/node/3053303650,3053303668,0.23,,residential,3053303653,90.03,,residential,3053303655,179.35,,residential,3053303643,270.49,,residential
3840087424,13.8579215,100.6967458,,residential,4,4,True,False,,88.88,90.67,0.9936,True,https://www.openstreetmap.org/node/3840087424,3840087426,89.83,,residential,3840087412,180.32,,residential,3840087425,269.2,,residential,3840087445,359.87,,residential
6124182932,13.8743586,100.7175727,,residential,4,4,True,False,,88.84,90.51,0.9936,True,https://www.openstreetmap.org/node/6124182932,6124182931,89.45,,residential,6124182936,179.62,,residential,6124182933,270.1,,residential,6124182937,358.94,,residential
6124182937,13.8747779,100.7175647,,residential,4,4,True,False,,89.29,91.09,0.9936,True,https://www.openstreetmap.org/node/6124182937,6124182938,0.09,,residential,6124183029,89.65,,residential,6124182932,178.94,,residential,6124183028,270.03,,residential
3840087417,13.8576783,100.6953869,,residential,4,4,True,False,,89.32,90.92,0.9935,True,https://www.openstreetmap.org/node/3840087417,3840087430,0.51,,residential,3840087416,89.83,,residential,3840087403,180.08,,residential,3840087415,269.58,,residential
2562522007,13.8665762,100.7201383,,residential,4,4,True,False,,89.18,90.85,0.9934,True,https://www.openstreetmap.org/node/2562522007,2562522008,88.11,,residential,2562522012,178.96,,residential,2562522005,269.29,,residential,2562522003,358.47,,residential
2562522057,13.8782367,100.7205326,ซอย ๕; ซอย ๖,residential,4,4,True,False,,89.13,91.02,0.9934,True,https://www.openstreetmap.org/node/2562522057,2562522058,90.0,ซอย ๖,residential,2562522054,180.17,,residential,2562522056,269.3,ซอย ๕,residential,2562522060,358.98,,residential
3840129895,13.8557255,100.6793122,ซอยคู้บอน 36,residential,4,4,True,False,,89.39,90.95,0.9934,True,https://www.openstreetmap.org/node/3840129895,3840129897,75.13,,residential,3840129881,166.07,ซอยคู้บอน 36,residential,3840129893,255.47,,residential,3840129901,345.7,ซอยคู้บอน 36,residential
5277017944,13.8708891,100.7121015,,residential,4,4,True,False,,88.81,90.79,0.9934,True,https://www.openstreetmap.org/node/5277017944,5277017945,85.73,,residential,5277017941,176.51,,residential,5277017946,266.91,,residential,5277017938,355.72,,residential
3053310356,13.8975344,100.7188148,,residential,4,4,True,False,,89.18,90.8,0.9933,True,https://www.openstreetmap.org/node/3053310356,3053310381,86.45,,residential,3053310379,176.86,,residential,3053310360,266.04,,residential,3053310345,356.84,,residential
3053347112,13.8692821,100.7136247,,residential,4,4,True,False,,89.33,91.15,0.9933,True,https://www.openstreetmap.org/node/3053347112,3053347115,89.87,,residential,3053347097,179.2,,residential,3053347121,269.25,,residential,3053347457,358.72,,residential
6117202602,13.849066,100.7086807,,residential,4,4,True,False,,89.39,90.61,0.9933,True,https://www.openstreetmap.org/node/6117202602,6117202603,88.28,,residential,6117202599,177.67,,residential,6117202601,268.28,,residential,6117202605,357.68,,residential
6521872180,13.8546091,100.7129066,,residential,4,4,True,False,,89.0,91.01,0.9933,True,https://www.openstreetmap.org/node/6521872180,6521872179,88.09,,residential,6521858844,179.1,,residential,6521872178,269.29,,residential,6521872183,359.09,,residential
3010377747,13.8527794,100.7551277,ซอยประชาร่วมใจ 31 ซอย 5; ซอยประชาร่วมใจ 31 ซอย 5/4; ซอยประชาร่วมใจ 31 ซอย 5/5,residential,4,4,True,False,,88.84,90.92,0.9932,True,https://www.openstreetmap.org/node/3010377747,8163593563,34.94,ซอยประชาร่วมใจ 31 ซอย 5/5,residential,3010377738,124.88,ซอยประชาร่วมใจ 31 ซอย 5,residential,8163563694,215.79,ซอยประชาร่วมใจ 31 ซอย 5/4,residential,3010377755,304.64,ซอยประชาร่วมใจ 31 ซอย 5,residential
3841546171,13.8399717,100.7023918,,residential,4,4,True,False,,89.08,90.92,0.9932,True,https://www.openstreetmap.org/node/3841546171,3841546183,4.28,,residential,3841546170,94.58,,residential,8295400183,185.5,,residential,3841546172,274.57,,residential
3841928596,13.8334156,100.69995,,residential,4,4,True,False,,88.99,91.22,0.9932,True,https://www.openstreetmap.org/node/3841928596,3841928601,77.13,,residential,3841928573,166.12,,residential,3841928594,257.34,,residential,3841938492,347.25,,residential
