importance_rank,osm_node_id,latitude,longitude,street_names,demand_level,total_demand_rate,design,design_name,completion_rate,avg_waiting_time_s,avg_queue_length,throughput_veh_s,traffic_efficiency
22,3845068387,13.824209,100.7125358,ซอยเจริญพัฒนา 5; ถนนเจริญพัฒนา,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,14.631578947368421,0.4633333333333333,0.03166666666666667,0.7814035016014328
23,5936141680,13.9033267,100.6912209,ซอยหนองระแหง 4,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,10.0,0.23333333333333334,0.023333333333333334,0.8386639676113361
24,3834754705,13.8596453,100.7392992,ซอยวัดสุขใจ; วัดสุขใจ 5/1; วัดสุขใจ 6,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,11.636363636363637,0.64,0.055,0.8026847808507197
25,1669530698,13.8330777,100.7640554,ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,12.380952380952381,1.3,0.105,0.7688051226289718
26,6128822544,13.8408751,100.698682,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 2,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,18.647058823529413,0.5283333333333333,0.028333333333333332,0.7452319472824422
27,1669530708,13.8365706,100.7693233,ถนนประชาร่วมใจ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,12.864406779661017,1.265,0.09833333333333333,0.7653146863891007
28,5941658256,13.8956484,100.7134093,ถนนไทยรามัญ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,9.606741573033707,1.425,0.14833333333333334,0.793990631525481
29,5941663059,13.8953657,100.7106823,ถนนไทยรามัญ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,11.707317073170731,1.6,0.13666666666666666,0.7649122807017544
30,4688947276,13.8947865,100.7075883,ถนนไทยรามัญ,medium,1.0,four_way,Existing Signalized Four-Way,0.13192182410423453,8.098591549295774,0.9583333333333334,0.11833333333333333,0.8296677126767829
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,7.410256410256411,1.445,0.195,0.8199550734003108
2,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,7.9868421052631575,1.0116666666666667,0.12666666666666668,0.8289435323195522
3,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,7.6692307692307695,1.6616666666666666,0.21666666666666667,0.8090493738020649
4,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,22.204545454545453,3.256666666666667,0.14666666666666667,0.6290735466391576
5,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,14.203389830508474,1.3966666666666667,0.09833333333333333,0.7477548819687615
6,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,11.721739130434782,2.2466666666666666,0.19166666666666668,0.7437264442487557
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,8.140495867768594,1.6416666666666666,0.20166666666666666,0.8038321545522052
8,3841546184,13.8414941,100.7029031,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 5; สุเหร่าคลองหนึ่ง ซอย 5,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,17.87142857142857,2.085,0.11666666666666667,0.6933100871775228
9,2722951940,13.9061458,100.6996359,ซอยหนองระแหง 5; ถนนหนองระแหง,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,13.980392156862745,2.3766666666666665,0.17,0.7176574900045958
10,3010327836,13.8353969,100.7675243,ซอยประชาร่วมใจ 33; ซอยประชาร่วมใจ 44; ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,5.8,0.9666666666666667,0.16666666666666666,0.8596706195094599
11,5817136062,13.8393703,100.773706,ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,15.943661971830986,1.8866666666666667,0.11833333333333333,0.715452421537697
12,5935920708,13.8958999,100.7151813,ถนนไทยรามัญ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,11.652173913043478,2.68,0.23,0.7317757813171948
13,3010521944,13.8416099,100.7790452,ซอยประชาร่วมใจ 45; ซอยประชาร่วมใจ 60; ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,13.884615384615385,1.2033333333333334,0.08666666666666667,0.7578666292522525
14,5870258361,13.8479329,100.7273239,ถนนสามวา,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,9.944444444444445,0.5966666666666667,0.06,0.8228631705424307
15,5933246533,13.9119598,100.7070246,ถนนหนองระแหง,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,6.96875,0.37166666666666665,0.05333333333333334,0.8691394059010714
16,5933392468,13.9087958,100.6955807,ซอยหนองระแหง 4,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,9.379310344827585,0.9066666666666666,0.09666666666666666,0.8163742567404596
17,8236662649,13.8768935,100.7817271,ถนนแบนชะโด,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,11.526315789473685,0.365,0.03166666666666667,0.8160064000145455
